Date,Open,High,Low,Close,Adj Close,Volume
2022-10-24,147.190002,150.229996,146.000000,149.449997,149.449997,75981900
2022-10-25,150.089996,152.490005,149.360001,152.339996,152.339996,74732300
2022-10-26,150.960007,151.990005,148.039993,149.350006,149.350006,88194300
2022-10-27,148.070007,149.050003,144.130005,144.800003,144.800003,109180200
2022-10-28,148.199997,157.500000,147.820007,155.740005,155.740005,164762400
2022-10-31,153.160004,154.240005,151.919998,153.339996,153.339996,97943200
2022-11-01,155.080002,155.449997,149.130005,150.649994,150.649994,80379300
2022-11-02,148.949997,152.169998,145.000000,145.029999,145.029999,93436100
